,name,blue_bikes_presence,cambio_information,escalator,free_toilets,has_pmr_assistance,lift_on_the_platform,location_of_taxis,luggage_lockers,number_of_parking_places_for_pmr,other_shared_bikes_in_the_area,pmr_toilets,paid_toilets,presence_of_connecting_buses,presence_of_connecting_metro,presence_of_connecting_tram,presence_of_the_bikes_point,tvm_count,wifi_presence,commerciallongnamefrench,commerciallongnamedutch,class_en,taftapcode,symbolicname
0,Anvers-Berchem,0,1,1,0,0,0,1,1,3,0,1,1,1,0,1,1,1,1,Anvers-Berchem,Antwerpen-Berchem,Station,BE00139,FCV
1,Anvers-Central,1,1,1,0,1,1,1,1,24,0,1,1,1,0,1,1,1,1,Anvers-Central,Antwerpen-Centraal,Station,BE00037,FN
2,Anvers-Luchtbal,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,Anvers-Luchtbal,Antwerpen-Luchtbal,Stop in open track,BE00764,LB
3,Anvers-Noorderdokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Anvers-Noorderdokken,Antwerpen-Noorderdokken,Stop in open track,BE00058,AND
4,Anvers-Sud,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Anvers-Sud,Antwerpen-Zuid,Stop in open track,BE00064,FNZD
5,Balen,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,Balen,Balen,Stop in open track,BE00107,LNE
6,Berlaar,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,Berlaar,Berlaar,Stop in open track,BE00142,GBL
7,Boechout,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,1,0,Boechout,Boechout,Stop in open track,BE00177,GBC
8,Booischot,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,Booischot,Booischot,Stop in open track,BE00187,GB
9,Boom,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Boom,Boom,Station,BE00188,FMB
10,Bornem,0,0,0,1,0,0,1,0,5,1,0,0,1,0,0,0,1,0,Bornem,Bornem,Stop in open track,BE00192,LOB
11,Bouwel,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0,Bouwel,Bouwel,Stop in open track,BE00199,FOW
12,Duffel,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0,Duffel,Duffel,Stop in open track,BE00336,FDF
13,Ekeren,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,Ekeren,Ekeren,Stop in open track,BE00352,LKR
14,Essen,1,0,0,0,1,0,0,0,3,0,1,1,1,0,0,0,1,0,Essen,Essen,Station,BE00376,FES
15,Geel,0,0,0,0,1,0,1,0,6,0,1,0,1,0,0,0,1,0,Geel,Geel,Station,BE00436,LG
16,Heide,0,0,0,0,0,0,0,0,8,0,1,1,1,0,0,0,1,0,Heide,Heide,Stop in open track,BE00539,MID
17,Heist-Op-Den-Berg,0,0,0,1,1,0,0,0,8,0,0,0,1,0,0,0,1,0,Heist-op-den-Berg,Heist-op-den-Berg,Station,BE00541,GHO
18,Hemiksem,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,Hemiksem,Hemiksem,Stop in open track,BE00546,LKM
19,Herentals,0,0,0,0,1,0,0,0,13,0,1,1,1,0,0,1,1,0,Herentals,Herentals,Station,BE00554,FHT
20,Hoboken-Polder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Hoboken-Polder,Hoboken-Polder,Stop in open track,BE00570,FOE
21,Hove,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,Hove,Hove,Stop in open track,BE00590,MHO
22,Kalmthout,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,Kalmthout,Kalmthout,Station,BE00630,FKTH
23,Kapellen,0,0,0,0,1,0,0,0,4,0,0,1,1,0,0,0,1,0,Kapellen,Kapellen,Station,BE00632,LKP
24,Kessel,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,Kessel,Kessel,Stop in open track,BE00635,LEK
25,Kijkuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Kijkuit,Kijkuit,Stop in open track,BE00637,GKT
26,Lierre,0,1,0,0,1,0,1,0,6,0,1,1,1,0,0,1,1,0,Lierre,Lier,Station,BE00732,FLR
27,Malines,0,1,1,0,1,1,1,1,18,0,1,1,1,0,0,1,1,1,Malines,Mechelen,Station,BE00810,FM
28,Malines-Nekkerspoel,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Malines-Nekkerspoel,Mechelen-Nekkerspoel,Station,BE00811,LNK
29,Melkouwen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Melkouwen,Melkouwen,Stop in open track,BE00814,MWC
30,Mol,0,0,0,1,1,1,1,0,4,1,1,0,1,0,0,1,1,0,Mol,Mol,Station,BE00840,LML
31,Mortsel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Mortsel,Mortsel,Stop in open track,BE00863,GMO
32,Mortsel-Deurnesteenweg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mortsel-Deurnesteenweg,Mortsel-Deurnesteenweg,Stop in open track,BE00864,GMOD
33,Mortsel-Liersesteenweg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,Mortsel-Liersesteenweg,Mortsel-Liersesteenweg,Stop in open track,BE00877,GMOL
34,Muizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Muizen,Muizen,Stop in open track,BE00871,FIZ
35,Niel,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,Niel,Niel,Stop in open track,BE00905,LNI
36,Nijlen,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,Nijlen,Nijlen,Stop in open track,BE00907,FJE
37,Noorderkempen,0,0,0,0,1,0,0,0,16,0,0,1,1,0,0,0,1,0,Noorderkempen,Noorderkempen,Station,BE01839,NDK
38,Olen,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,Olen,Olen,Station,BE00924,GOL
39,Puurs,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,Puurs,Puurs,Station,BE00977,FRP
