name,Blue Bikes presence,Cambio information,Escalator,Free Toilets,Has PMR Assistance,Lift on the platform,Location of taxis,Luggage Lockers,Number of Parking Places for PMR,Other shared bikes in the area,PMR Toilets,Paid Toilets,Presence of connecting buses,Presence of connecting metro,Presence of connecting tram,Presence of the Bikes point,TVM Count,Wifi presence
Anvers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anvers-Berchem,0,1,1,0,0,0,1,1,3,0,1,1,1,0,1,1,1,1
Anvers-Central,1,1,1,0,1,1,1,1,24,0,1,1,1,0,1,1,1,1
Anvers-Luchtbal,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
Anvers-Noorderdokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anvers-Sud,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Balen,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
Berlaar,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0
Boechout,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,1,0
Booischot,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
Boom,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Bornem,0,0,0,1,0,0,1,0,5,1,0,0,1,0,0,0,1,0
Bouwel,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0
Duffel,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0
Ekeren,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Essen,1,0,0,0,1,0,0,0,3,0,1,1,1,0,0,0,1,0
Geel,0,0,0,0,1,0,1,0,6,0,1,0,1,0,0,0,1,0
Heide,0,0,0,0,0,0,0,0,8,0,1,1,1,0,0,0,1,0
Heist-Op-Den-Berg,0,0,0,1,1,0,0,0,8,0,0,0,1,0,0,0,1,0
Hemiksem,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
Herentals,0,0,0,0,1,0,0,0,13,0,1,1,1,0,0,1,1,0
Hoboken-Polder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Hove,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Kalmthout,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Kapellen,0,0,0,0,1,0,0,0,4,0,0,1,1,0,0,0,1,0
Kessel,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Kijkuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kontich,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,1,0
Lierre,0,1,0,0,1,0,1,0,6,0,1,1,1,0,0,1,1,0
Malines,0,1,1,0,1,1,1,1,18,0,1,1,1,0,0,1,1,1
Malines-Nekkerspoel,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Melkouwen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mol,0,0,0,1,1,1,1,0,4,1,1,0,1,0,0,1,1,0
Mortsel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mortsel-Deurnesteenweg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mortsel-Liersesteenweg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Mortsel-Oude-God,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
Muizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Niel,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Nijlen,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
Noorderkempen,0,0,0,0,1,0,0,0,16,0,0,1,1,0,0,0,1,0
Olen,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
Puurs,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Ruisbroek-Sauvegarde,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Schelle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Sint-Katelijne-Waver,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
Sint-Mariaburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tielen,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0
Turnhout,0,1,0,1,1,0,1,0,5,0,1,0,1,0,0,1,1,0
Wildert,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
Willebroek,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,1,0
Wolfstee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zwijndrecht,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Région De Bruxelles-Capitale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderlecht,0,1,0,0,0,0,0,0,31,1,0,0,1,1,0,0,1,0
Arcades,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0
Bockstael,0,1,1,0,0,0,1,0,6,1,0,0,1,1,1,1,1,0
Boondael,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0
Bordet,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0
Boitsfort,0,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0
Bruxelles-Central,1,0,1,0,0,1,1,1,35,1,1,1,1,1,0,1,1,1
Bruxelles-Congres,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0
Delta,0,1,1,0,0,0,0,0,5,1,0,0,1,1,0,0,1,0
Vivier D'oie,0,1,0,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0
Etterbeek,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
Evere,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
Haren,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Haren-Sud,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Jette,0,1,0,1,0,1,1,0,6,1,1,0,1,0,1,0,1,0
Bruxelles-Chapelle,0,1,0,0,0,0,0,0,8,1,0,0,1,0,0,0,1,0
Bruxelles-Luxembourg,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1
Meiser,0,1,0,0,0,0,0,0,4,1,0,0,1,0,1,0,1,0
Merode,0,1,0,0,0,0,0,0,2,1,0,0,1,1,1,0,1,0
Moensberg,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Germoir,0,1,0,0,0,1,0,0,5,1,0,0,1,0,1,0,1,0
Bruxelles-Nord,0,0,1,0,1,1,1,1,2,1,1,1,1,0,1,1,1,1
Schaerbeek,0,1,0,0,0,0,1,0,12,1,0,0,1,0,1,0,1,0
Bruxelles-Schuman,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1
Simonis,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0
