name,url
Anvers,/fr/station-information/antwerpen
Anvers-Berchem,/fr/station-information/antwerpen/antwerpen-berchem
Anvers-Central,/fr/station-information/antwerpen/antwerpen-centraal
Anvers-Luchtbal,/fr/station-information/antwerpen/antwerpen-luchtbal
Anvers-Noorderdokken,/fr/station-information/antwerpen/antwerpen-noorderdokken
Anvers-Sud,/fr/station-information/antwerpen/antwerpen-zuid
Balen,/fr/station-information/antwerpen/balen
Berlaar,/fr/station-information/antwerpen/berlaar
Boechout,/fr/station-information/antwerpen/boechout
Booischot,/fr/station-information/antwerpen/booischot
Boom,/fr/station-information/antwerpen/boom
Bornem,/fr/station-information/antwerpen/bornem
Bouwel,/fr/station-information/antwerpen/bouwel
Duffel,/fr/station-information/antwerpen/duffel
Ekeren,/fr/station-information/antwerpen/ekeren
Essen,/fr/station-information/antwerpen/essen
Geel,/fr/station-information/antwerpen/geel
Heide,/fr/station-information/antwerpen/heide
Heist-Op-Den-Berg,/fr/station-information/antwerpen/heist-op-den-berg
Hemiksem,/fr/station-information/antwerpen/hemiksem
Herentals,/fr/station-information/antwerpen/herentals
Hoboken-Polder,/fr/station-information/antwerpen/hoboken-polder
Hove,/fr/station-information/antwerpen/hove
Kalmthout,/fr/station-information/antwerpen/kalmthout
Kapellen,/fr/station-information/antwerpen/kapellen
Kessel,/fr/station-information/antwerpen/kessel
Kijkuit,/fr/station-information/antwerpen/kijkuit
Kontich,/fr/station-information/antwerpen/kontich-lint
Lierre,/fr/station-information/antwerpen/lier
Malines,/fr/station-information/antwerpen/mechelen
Malines-Nekkerspoel,/fr/station-information/antwerpen/mechelen-nekkerspoel
Melkouwen,/fr/station-information/antwerpen/melkouwen
Mol,/fr/station-information/antwerpen/mol
Mortsel,/fr/station-information/antwerpen/mortsel
Mortsel-Deurnesteenweg,/fr/station-information/antwerpen/mortsel-deurnesteenweg
Mortsel-Liersesteenweg,/fr/station-information/antwerpen/mortsel-liersesteenweg
Mortsel-Oude-God,/fr/station-information/antwerpen/mortsel-oude-god
Muizen,/fr/station-information/antwerpen/muizen
Niel,/fr/station-information/antwerpen/niel
Nijlen,/fr/station-information/antwerpen/nijlen
Noorderkempen,/fr/station-information/antwerpen/noorderkempen
Olen,/fr/station-information/antwerpen/olen
Puurs,/fr/station-information/antwerpen/puurs
Ruisbroek-Sauvegarde,/fr/station-information/antwerpen/ruisbroek-sauvegarde
Schelle,/fr/station-information/antwerpen/schelle
Sint-Katelijne-Waver,/fr/station-information/antwerpen/sint-katelijne-waver
Sint-Mariaburg,/fr/station-information/antwerpen/sint-mariaburg
Tielen,/fr/station-information/antwerpen/tielen
Turnhout,/fr/station-information/antwerpen/turnhout
Wildert,/fr/station-information/antwerpen/wildert
Willebroek,/fr/station-information/antwerpen/willebroek
Wolfstee,/fr/station-information/antwerpen/wolfstee
Zwijndrecht,/fr/station-information/antwerpen/zwijndrecht
Région De Bruxelles-Capitale,/fr/station-information/brussel-bruxelles
Anderlecht,/fr/station-information/brussel-bruxelles/anderlecht
Arcades,/fr/station-information/brussel-bruxelles/arcaden-arcades
Bockstael,/fr/station-information/brussel-bruxelles/bockstael
Boondael,/fr/station-information/brussel-bruxelles/boondaal-boondael
Bordet,/fr/station-information/brussel-bruxelles/bordet
Boitsfort,/fr/station-information/brussel-bruxelles/bosvoorde-boitsfort
Bruxelles-Central,/fr/station-information/brussel-bruxelles/centraal-central
Bruxelles-Congres,/fr/station-information/brussel-bruxelles/congres
Delta,/fr/station-information/brussel-bruxelles/delta
Vivier D'oie,/fr/station-information/brussel-bruxelles/diesdelle-vivier-doie
Etterbeek,/fr/station-information/brussel-bruxelles/etterbeek
Evere,/fr/station-information/brussel-bruxelles/evere
Haren,/fr/station-information/brussel-bruxelles/haren
Haren-Sud,/fr/station-information/brussel-bruxelles/haren-zuid-sud
Jette,/fr/station-information/brussel-bruxelles/jette
Bruxelles-Chapelle,/fr/station-information/brussel-bruxelles/kapellekerk-chapel
Bruxelles-Luxembourg,/fr/station-information/brussel-bruxelles/luxemburg-luxembourg
Meiser,/fr/station-information/brussel-bruxelles/meiser
Merode,/fr/station-information/brussel-bruxelles/merode
Moensberg,/fr/station-information/brussel-bruxelles/moensberg
Germoir,/fr/station-information/brussel-bruxelles/mouterij-germoir
Bruxelles-Nord,/fr/station-information/brussel-bruxelles/noord-nord
Schaerbeek,/fr/station-information/brussel-bruxelles/schaarbeek-schaerbeek
Bruxelles-Schuman,/fr/station-information/brussel-bruxelles/schuman
Simonis,/fr/station-information/brussel-bruxelles/simonis
Berchem-Sainte-Agathe,/fr/station-information/brussel-bruxelles/sint-agatha-berchem-berchem-saint-agathe
Saint-Job,/fr/station-information/brussel-bruxelles/sint-job-saint-job
Tour-Et-Taxis,/fr/station-information/brussel-bruxelles/thurn-en-taxis-tour-et-taxis
Uccle-Calevoet,/fr/station-information/brussel-bruxelles/ukkel-kalevoet-uccle-calvoet
Uccle-Stalle,/fr/station-information/brussel-bruxelles/ukkel-stalle-uccle-stalle
Forest-Est,/fr/station-information/brussel-bruxelles/vorst-oost-forest-est
Forest-Midi,/fr/station-information/brussel-bruxelles/vorst-zuid-forest-midi
Watermael,/fr/station-information/brussel-bruxelles/watermaal-watermael
Bruxelles-Ouest,/fr/station-information/brussel-bruxelles/west-ouest
Bruxelles-Midi,/fr/station-information/brussel-bruxelles/zuid-midi
Flandre Orientale,/fr/station-information/oost-vlaanderen
Alost,/fr/station-information/oost-vlaanderen/aalst
Alost-Kerrebroek,/fr/station-information/oost-vlaanderen/aalst-kerrebroek
Aalter,/fr/station-information/oost-vlaanderen/aalter
Appelterre,/fr/station-information/oost-vlaanderen/appelterre
Baasrode-Zuid,/fr/station-information/oost-vlaanderen/baasrode-zuid
Balegem-Dorp,/fr/station-information/oost-vlaanderen/balegem-dorp
Balegem-Zuid,/fr/station-information/oost-vlaanderen/balegem-zuid
Bambrugge,/fr/station-information/oost-vlaanderen/bambrugge
Beervelde,/fr/station-information/oost-vlaanderen/beervelde
Bellem,/fr/station-information/oost-vlaanderen/bellem
Belsele,/fr/station-information/oost-vlaanderen/belsele
Beveren(Waas),/fr/station-information/oost-vlaanderen/beveren
Buggenhout,/fr/station-information/oost-vlaanderen/buggenhout
Burst,/fr/station-information/oost-vlaanderen/burst
Deinze,/fr/station-information/oost-vlaanderen/deinze
Denderleeuw,/fr/station-information/oost-vlaanderen/denderleeuw
Termonde,/fr/station-information/oost-vlaanderen/dendermonde
De Pinte,/fr/station-information/oost-vlaanderen/de-pinte
Drongen,/fr/station-information/oost-vlaanderen/drongen
Ede,/fr/station-information/oost-vlaanderen/ede
Eeklo,/fr/station-information/oost-vlaanderen/eeklo
